hour_bin,transactions,average_risk,observed_fraud,risk_baseline,risk_std,risk_lift,z_score,spike_score,transaction_risk_score,final_risk_score,severity,explanation,alert
3676,59,0.03539541796645814,0,0.03141979211127269,0.005963382236066149,1.1265325321410733,0.6666729882148299,12.801620674177705,3.539541796645814,7.244373347658572,LOW,no major anomaly detected,False
3677,38,0.05145310372832237,4,0.031585443188572086,0.005888490776930925,1.6290131951334654,3.3739817709462874,44.99793393517887,5.1453103728322365,21.08635979777089,LOW,risk 1.6x above recent baseline; 3.4σ statistical deviation,False
3678,25,0.0406050196575857,5,0.03231287845050895,0.007143647759121406,1.2566203199686203,1.1607712875384821,13.36608443778835,4.06050196575857,7.782734954570483,LOW,no major anomaly detected,False
3679,10,0.01971857040017068,0,0.03297580092057765,0.00714419100707883,0.5979709317042196,-1.8556657439969098,6.941613501691095,1.9718570400170679,3.9597596246866784,LOW,no major anomaly detected,False
3680,9,0.02877081696748748,1,0.032510973532417074,0.007633053244185059,0.8849571034469257,-0.4899948218989413,6.6657021895985515,2.877081696748748,4.392529893888669,LOW,no major anomaly detected,False
3681,21,0.015439106755983716,0,0.03236387247339535,0.00767119399106015,0.4770475711358521,-2.206275286107405,8.948189802923338,1.5439106755983716,4.505622326528359,LOW,no major anomaly detected,False
3682,31,0.02194178011294524,1,0.03223458778306646,0.007935847963148581,0.680690575620506,-1.2970016207363813,10.032881506161209,2.194178011294524,5.329659409241198,LOW,no major anomaly detected,False
3683,83,0.022793597766253865,2,0.03223330575879175,0.007937580155352618,0.7071442791757973,-1.189242540898604,12.82667265050182,2.2793597766253866,6.49828492617596,LOW,no major anomaly detected,False
3684,98,0.025566966472624048,5,0.03216057319177768,0.008018729857565072,0.7949785695722803,-0.8222757015480525,13.302309886268818,2.5566966472624046,6.85494194286497,LOW,no major anomaly detected,False
3685,128,0.0279647696711305,5,0.03220485096901154,0.007977443012069837,0.8683402912821745,-0.5315088169813077,14.068562453285875,2.79647696711305,7.30531116158218,LOW,128 transactions in window,False
3686,160,0.040188101983711075,0,0.0323436144174735,0.007868251769650874,1.2425358979669143,0.9969797352564439,16.529063308680094,4.018810198371107,9.022911442494703,LOW,160 transactions in window,False
3687,196,0.038340513193766586,3,0.03281392113425562,0.007989912010331843,1.1684221777976285,0.6916962354985218,16.557394881167465,3.8340513193766586,8.923388744092982,LOW,196 transactions in window,False
3688,208,0.037904351789271554,4,0.033089681958602804,0.00806445875445328,1.1455036599231203,0.5970233064940704,16.5566816289428,3.7904351789271553,8.896933758933415,LOW,208 transactions in window,False
3689,203,0.04128444593935046,5,0.03322314010539656,0.008118611122145097,1.2426412978538557,0.9929414911825395,17.2151165980776,4.128444593935046,9.363113395592068,LOW,203 transactions in window,False
3690,174,0.04226189817083252,11,0.03357308041212332,0.008282785657962683,1.2588031140440616,1.0490212010202362,17.50521200056451,4.226189817083252,9.537798690475755,LOW,174 transactions in window,False
3691,184,0.038564729164300295,12,0.03389413026796726,0.00846978946144182,1.1377996384449827,0.5514421483078935,16.14578884254927,3.8564729164300293,8.772199286877726,LOW,184 transactions in window,False
3692,179,0.042740888534048206,5,0.034050229374606576,0.008521926133214935,1.255230561410632,1.019799869605657,17.19470245605897,4.2740888534048205,9.44233429446648,LOW,179 transactions in window,False
3693,229,0.039872762146198226,8,0.034084931485688405,0.008556938898238843,1.169806140374377,0.6763903224435844,17.016120460586144,3.987276214619823,9.198813913006353,LOW,229 transactions in window,False
3694,214,0.05054064904285801,23,0.03439067493448098,0.00862992927812458,1.469603290401976,1.8713912464282292,29.961755407731005,5.054064904285801,15.017141105663883,LOW,214 transactions in window,False
3695,216,0.05033481762424693,21,0.03511133694651886,0.009231290549191841,1.4335773571059478,1.649117270938982,26.939940828854876,5.033481762424693,13.796065388996768,LOW,216 transactions in window,False
3696,224,0.03486004755973328,5,0.03579839312974408,0.009732972899801934,0.973788053374073,-0.09640893688606673,15.678948161310341,3.486004755973328,8.363182118108133,LOW,224 transactions in window,False
3697,175,0.03617834504002766,1,0.03586872408401934,0.009719259008261965,1.008632059375267,0.031856436354368974,15.032659151934563,3.6178345040027664,8.183764363175484,LOW,175 transactions in window,False
3698,126,0.03139907334960061,3,0.03597297592057274,0.009708132412763385,0.8728517045386746,-0.4711413458842784,14.0233290692617,3.139907334960061,7.493276028680716,LOW,126 transactions in window,False
3699,120,0.05051809631199879,8,0.03567059075340513,0.009733907531657877,1.4162394074501363,1.5253386690087898,23.571755921868085,5.0518096311998795,12.459788147467162,LOW,120 transactions in window,False
3700,66,0.05869689755566495,4,0.036026577889537746,0.010122928959862196,1.6292665302721063,2.2395020014479896,32.385344805874304,5.869689755566495,16.47595177568962,LOW,risk 1.6x above recent baseline; 2.2σ statistical deviation,False
3701,59,0.03715007832888211,2,0.03699747287242136,0.011127358817829126,1.0041247535199764,0.013714436548611592,11.883562334519478,3.7150078328882112,6.982429633540718,LOW,no major anomaly detected,False
3702,44,0.030291988729045264,3,0.03640151348077802,0.010694067088738473,0.8321628919369268,-0.5713003949794245,11.019822272944031,3.0291988729045265,6.2254482329203285,LOW,no major anomaly detected,False
3703,32,0.024134054171797932,2,0.0359718038587555,0.01072497258647651,0.6709158725139587,-1.1037557058079754,10.121961693979955,2.4134054171797934,5.496827927899858,LOW,no major anomaly detected,False
3704,30,0.05602076066915114,4,0.036155782349239975,0.01046885280104378,1.5494274229230929,1.8975315344896777,25.28082276111868,5.602076066915114,13.473574744596542,LOW,risk 1.5x above recent baseline,False
